"price_total","quantity","date_created.year","date_created.month","date_created.day","customer.name","country.region","country.country","product.category","product.name"
"717",1,2013,1,15,"Acme, inc.","Europe","Spain","Sports","Mountain Bike"
"44,0279",1,2013,2,10,"Widget Corp","Europe","United Kingdom of Great Britain & Northern Ireland","Sports","Trial Bike"
"44,03",1,2013,3,10,"123 Warehousing","North America","United States of America","Sports","Trial Bike"
"47,9592",1,2012,4,1,"Demo Company","South America","Uruguay","Books","Build your own bicycle"
"49,95",1,2012,9,1,"Smith and Co.","Europe","Spain","Books","Build your own bicycle"
495,1,2012,10,21,"Foo Bars","South America","Brazil","Sports","Snowboard table"
"110,37",1,2012,11,19,"ABC Telecom","South America","Guatemala","Sports","Snowboard boots"
"44,08",1,2012,12,26,"Fake Brothers","North America","United States of America","Sports","Trial Bike"
"49,5",1,2012,9,19,"QWERTY Logistics","Europe","Portugal","Sports","Trial Bike"
"110,37",1,2012,10,19,"Demo, inc.","South America","Brazil","Sports","Snowboard boots"
800,5,2013,11,17,"Sample Company","Europe","Switzerland","Videos","Living on a windsurf table (2010)"
1195,1,2013,12,17,"Sample, inc","Europe","Switzerland","Sports","Mountain Bike"
495,1,2013,1,24,"Acme Corp","Europe","Netherlands","Sports","Snowboard table"
"49,95",1,2013,2,14,"Allied Biscuit","North America","United States of America","Books","Bicycle Wheel"
"49,95",1,2013,3,14,"Ankh-Sto Associates","Europe","Spain","Books","Build your own bicycle"
60,7,2013,4,14,"Extensive Enterprise","South America","Brazil","Videos","Extreme mountain bike sessions (2012)"
"360,77",1,2013,5,10,"Galaxy Corp","Africa","South Africa","Sports","Snowboard table"
"49,3507",1,2013,6,5,"Globo-Chem","North America","Canada","Books","Bicycle Wheel"
"49,95",1,2013,7,5,"Mr. Sparkle","Europe","United Kingdom of Great Britain & Northern Ireland","Books","Bicycle Wheel"
"49,95",1,2013,8,5,"Globex Corporation","Europe","Slovakia (Slovak Republic)","Books","Bicycle Wheel"
"449,57",1,2013,9,4,"LexCorp","South America","Brazil","Sports","Snowboard table"
68,1,2013,10,6,"LuthorCorp","Europe","Hungary","Videos","Living on a windsurf table (2010)"
"41,32",1,2013,11,8,"North Central Positronics","Europe","Spain","Various","Various"
"609,45",1,2013,12,12,"Omni Consimer Products","Europe","Germany","Sports","Mountain Bike"
"41,32",1,2012,1,15,"Praxis Corporation","Europe","Spain","Various","Various"
20,1,2012,9,16,"Sombra Corporation","Europe","France","Videos","Best windsurf Videos of the year (2013)"
20,1,2012,10,23,"Sto Plains Holdings","Europe","France","Videos","Best windsurf Videos of the year (2013)"
"49,5",1,2012,11,27,"Tessier-Ashpool","Europe","Portugal","Sports","Trial Bike"
"41,32",1,2012,12,27,"Wayne Enterprises","Europe","Spain","Various","Various"
"742,5",1,2012,6,20,"Wentworth Industries","Europe","Ireland","Various","Various"
"67,24",1,2013,7,17,"ZiffCorp","North America","United States of America","Sports","Snowboard boots"
"294,52",1,2013,8,8,"Bluth Company","South America","Brazil","Sports","Snowboard table"
"57,8",1,2013,9,8,"Strickland Propane","South America","Brazil","Videos","Repair your own cross bike (2011)"
"355,8",1,2013,10,5,"Thatherton Fuels","South America","Ecuador","Sports","Rafting Boat"
593,1,2013,11,4,"Three Waters","South America","Ecuador","Sports","Mountain Bike"
"355,8",1,2013,12,6,"Water and Power","South America","Ecuador","Sports","Rafting Boat"
"355,8",1,2013,9,8,"Western Gas & Electric","South America","Ecuador","Sports","Rafting Boat"
"355,8",1,2013,10,12,"Mammoth Pictures","South America","Ecuador","Sports","Rafting Boat"
"355,8",1,2013,11,15,"Mooby Corp","South America","Ecuador","Sports","Rafting Boat"
"355,8",1,2013,12,16,"Gringotts","South America","Ecuador","Sports","Rafting Boat"
"355,8",1,2013,5,23,"Thrift Bank","South America","Ecuador","Sports","Rafting Boat"
"49,95",1,2013,6,27,"Flowers By Irene","Europe","Denmark","Books","Bicycle Wheel"
60,7,2013,7,27,"The Legitimate Businessmens Club","South America","Brazil","Videos","Extreme mountain bike sessions (2012)"
"49,95",1,2012,8,5,"Osato Chemicals","North America","United States of America","Books","Bicycle Wheel"
"562,71",1,2012,9,4,"Transworld Consortium","North America","United States of America","Sports","Mountain Bike"
10,1,2012,10,6,"Universal Export","South America","Brazil","Sports","Snowboard boots"
10,1,2012,11,8,"United Fried Chicken","South America","Brazil","Sports","Snowboard boots"
"42,07",1,2012,12,12,"Virtucon","South America","Brazil","Sports","Trial Bike"
"101,58",1,2012,1,15,"Kumatsu Motors","South America","Brazil","Sports","Snowboard boots"
"609,45",1,2012,2,16,"Keedsler Motors","Europe","Netherlands","Sports","Mountain Bike"
"836,5",1,2012,3,23,"Powell Motors","Europe","Spain","Sports","Mountain Bike"
"836,5",1,2012,9,27,"Industrial Automation","Europe","Spain","Sports","Mountain Bike"
"346,5",1,2012,10,27,"Sirius Cybernetics Corporation","Europe","Spain","Sports","Snowboard table"
"420,75",1,2012,11,20,"U.S. Robotics and Mechanical Men","South America","Brazil","Sports","Snowboard table"
70,1,2012,12,17,"Colonial Movers","Europe","Spain","Sports","Snowboard boots"
,1,2012,8,8,"Corellian Engineering Corporation","Europe","Spain","Sports","Trial Bike"
29,1,2012,9,8,"Incom Corporation","Europe","Spain","Sports","Trial Bike"
70,1,2012,10,30,"General Products","Europe","Spain","Sports","Snowboard boots"
42,1,2012,11,30,"Leeding Engines Ltd.","Europe","Spain","Sports","Snowboard boots"
"52,5",1,2012,12,30,"Acme, inc.","Europe","Spain","Sports","Snowboard boots"
"291,67",1,2013,1,27,"Widget Corp","Europe","United Kingdom of Great Britain & Northern Ireland","Sports","Snowboard table"
"1075,5",1,2013,2,25,"123 Warehousing","North America","United States of America","Sports","Mountain Bike"
"49,95",1,2013,3,23,"Demo Company","South America","Uruguay","Books","Bicycle Wheel"
"114,18",1,2013,4,18,"Smith and Co.","Europe","Spain","Sports","Snowboard boots"
"45,3",1,2013,5,18,"Foo Bars","South America","Brazil","Sports","Trial Bike"
"68,38",1,2013,6,16,"ABC Telecom","South America","Guatemala","Sports","Snowboard boots"
"49,5",1,2013,7,16,"Fake Brothers","North America","United States of America","Sports","Trial Bike"
"415,8",1,2013,8,13,"QWERTY Logistics","Europe","Portugal","Sports","Tent for extreme weather"
140,1,2013,9,13,"Demo, inc.","South America","Brazil","Sports","Termic Jacket "
495,1,2013,10,13,"Sample Company","Europe","Switzerland","Sports","Tent for extreme weather"
140,1,2013,11,5,"Sample, inc","Europe","Switzerland","Sports","Termic Jacket "
"273,687",1,2013,12,4,"Acme Corp","Europe","Netherlands","Sports","Snowboard table"
"192,233",1,2013,1,6,"Allied Biscuit","North America","United States of America","Videos","Climb higher, faster, better (2010)"
"49,95",1,2012,2,8,"Ankh-Sto Associates","Europe","Spain","Books","Build your own bicycle"
"45,83",1,2012,3,12,"Extensive Enterprise","South America","Brazil","Sports","Trial Bike"
"49,95",1,2012,4,15,"Galaxy Corp","Africa","South Africa","Books","Bicycle Wheel"
"49,95",1,2012,5,16,"Globo-Chem","North America","Canada","Books","Bicycle Wheel"
20,1,2012,6,23,"Mr. Sparkle","Europe","United Kingdom of Great Britain & Northern Ireland","Videos","Best windsurf Videos of the year (2013)"
20,1,2012,7,27,"Globex Corporation","Europe","Slovakia (Slovak Republic)","Videos","Best windsurf Videos of the year (2013)"
20,1,2012,8,27,"LexCorp","South America","Brazil","Videos","Best windsurf Videos of the year (2013)"
20,1,2012,9,20,"LuthorCorp","Europe","Hungary","Videos","Best windsurf Videos of the year (2013)"
20,1,2012,10,17,"North Central Positronics","Europe","Spain","Videos","Best windsurf Videos of the year (2013)"
20,1,2012,11,8,"LexCorp","South America","Brazil","Videos","Best windsurf Videos of the year (2013)"
20,1,2012,2,8,"LuthorCorp","Europe","Hungary","Videos","Best windsurf Videos of the year (2013)"
20,1,2012,3,27,"North Central Positronics","Europe","Spain","Videos","Best windsurf Videos of the year (2013)"
20,1,2012,4,27,"Omni Consimer Products","Europe","Germany","Videos","Best windsurf Videos of the year (2013)"
20,1,2012,5,20,"Praxis Corporation","Europe","Spain","Videos","Best windsurf Videos of the year (2013)"
20,1,2012,4,17,"Sombra Corporation","Europe","France","Videos","Best windsurf Videos of the year (2013)"
"445,5",1,2012,5,8,"Sto Plains Holdings","Europe","France","Sports","Tent for extreme weather"
126,1,2012,6,8,"Tessier-Ashpool","Europe","Portugal","Sports","Termic Jacket "
"990,05",3,2012,7,13,"Wayne Enterprises","Europe","Spain","Sports","Tent for extreme weather"
"280,01",3,2013,8,27,"Wentworth Industries","Europe","Ireland","Sports","Termic Jacket "
"371,25",1,2013,9,25,"ZiffCorp","North America","United States of America","Sports","Mountain Bike"
10000,1,2013,10,25,"Bluth Company","South America","Brazil","Sports","Training On-Site"
495,1,2013,11,20,"Strickland Propane","South America","Brazil","Sports","Snowboard table"
140,1,2013,12,20,"Thatherton Fuels","South America","Ecuador","Sports","Termic Jacket "
"420,75",1,2013,1,18,"Mammoth Pictures","South America","Ecuador","Sports","Snowboard table"
495,1,2013,2,13,"Mooby Corp","South America","Ecuador","Sports","Snowboard table"
"49,95",1,2013,3,20,"Gringotts","South America","Ecuador","Books","Build your own bicycle"
360,3,2013,4,17,"Thrift Bank","South America","Ecuador","Sports","Paddle Tennis Set"
"861,9",1,2013,5,24,"Flowers By Irene","Europe","Denmark","Sports","Snowboard table"
"2055,3",1,2013,6,14,"The Legitimate Businessmens Club","South America","Brazil","Sports","Mountain Bike"
4950,1,2013,7,14,"Osato Chemicals","North America","United States of America","Various","Various"
"842,1",1,2013,2,14,"Transworld Consortium","North America","United States of America","Sports","Mountain Bike"
"34,65",1,2013,3,10,"Universal Export","South America","Brazil","Sports","Trial Bike"
"49,95",1,2013,4,5,"United Fried Chicken","South America","Brazil","Books","Bicycle Wheel"
"44,8709",1,2013,5,5,"Virtucon","South America","Brazil","Sports","Trial Bike"
"44,87",1,2013,12,5,"Kumatsu Motors","South America","Brazil","Sports","Trial Bike"
"49,95",1,2013,1,4,"Keedsler Motors","Europe","Netherlands","Books","Build your own bicycle"
495,1,2013,2,6,"Powell Motors","Europe","Spain","Sports","Tent for extreme weather"
"493,609",1,2013,3,8,"Industrial Automation","Europe","Spain","Sports","Climbing equipment"
"137,751",1,2013,4,12,"Sirius Cybernetics Corporation","Europe","Spain","Sports","Climbing boots"
"1144,1",1,2013,5,15,"U.S. Robotics and Mechanical Men","South America","Brazil","Sports","Mountain Bike"
